,time,open,close,high,low,volumn
0,20111031.0,70.0,73.6,74.0,68.1,826861.0
1,20111130.0,73.5,74.6,76.0,71.3,882680.0
2,20111230.0,75.5,75.8,76.8,72.0,703412.0
3,20120131.0,75.0,78.5,79.5,74.6,723770.0
4,20120229.0,77.5,81.1,81.1,75.6,930009.0
5,20120330.0,81.0,84.9,86.5,78.3,799720.0
6,20120430.0,84.8,86.8,89.8,81.5,713468.0
7,20120531.0,87.0,85.1,89.0,78.2,935697.0
8,20120629.0,81.7,81.3,81.7,76.1,846940.0
9,20120731.0,81.5,81.0,84.9,73.8,1093336.0
10,20120831.0,80.1,83.3,83.9,79.2,726286.0
11,20120928.0,83.5,89.8,89.8,81.0,718284.0
12,20121031.0,89.2,88.7,91.3,84.5,746807.0
13,20121130.0,88.6,98.7,98.8,87.7,808063.0
14,20121228.0,98.3,97.0,99.4,94.6,672377.0
15,20130131.0,97.6,101.5,102.0,97.1,740597.0
16,20130227.0,101.5,104.5,109.5,100.5,466307.0
17,20130329.0,103.0,100.5,105.0,98.0,806092.0
18,20130430.0,101.0,109.5,109.5,97.5,731211.0
19,20130531.0,110.0,109.5,116.5,108.0,638040.0
20,20130628.0,108.0,111.0,111.0,100.0,713803.0
21,20130731.0,109.0,102.5,110.0,96.9,1046184.0
22,20130830.0,102.0,100.5,103.0,92.9,807087.0
23,20130930.0,100.0,100.5,106.0,99.6,631415.0
24,20131031.0,100.5,109.5,111.5,100.5,649172.0
25,20131129.0,110.5,105.0,110.5,100.0,616033.0
26,20131231.0,105.0,105.5,106.0,101.0,566904.0
27,20140127.0,105.0,105.0,108.5,100.5,639676.0
28,20140227.0,102.0,108.0,108.5,100.5,708914.0
29,20140331.0,108.0,118.5,118.5,106.5,947466.0
30,20140430.0,119.0,118.5,123.0,116.5,737561.0
31,20140530.0,119.0,119.5,124.0,116.0,644299.0
32,20140630.0,120.0,126.5,127.0,120.0,564922.0
33,20140731.0,126.5,121.0,138.0,121.0,1107181.0
34,20140829.0,120.0,124.0,126.0,119.0,713701.0
35,20140930.0,125.0,120.0,128.5,119.0,573409.0
36,20141031.0,120.0,130.5,130.5,118.0,945353.0
37,20141128.0,132.0,141.5,142.0,130.5,663405.0
38,20141231.0,139.0,141.0,142.0,130.0,808499.0
39,20150130.0,140.5,141.0,147.0,130.0,1055444.0
40,20150226.0,140.5,150.5,154.5,140.5,541067.0
41,20150331.0,151.5,145.5,155.0,142.0,1170601.0
42,20150430.0,145.0,147.0,153.5,141.5,1027335.0
43,20150529.0,148.5,146.0,149.0,144.5,547180.0
44,20150630.0,145.5,140.5,147.5,138.0,776179.0
45,20150731.0,140.0,139.5,142.5,134.0,750699.0
46,20150831.0,138.5,129.0,138.5,112.5,1076007.0
47,20150930.0,127.5,130.0,131.5,122.0,663648.0
48,20151030.0,131.0,136.5,141.0,129.5,655578.0
49,20151130.0,138.5,139.0,144.5,134.0,694528.0
50,20151231.0,140.5,143.0,145.0,137.5,620175.0
51,20160130.0,142.5,142.0,143.5,130.5,842776.0
52,20160226.0,144.0,149.0,152.5,141.5,535938.0
53,20160331.0,148.5,162.0,163.0,148.5,716996.0
54,20160429.0,161.0,150.0,162.5,149.0,646099.0
55,20160531.0,148.0,156.5,158.0,143.0,767898.0
56,20160630.0,156.0,162.5,166.0,154.0,713665.0
57,20160729.0,164.5,172.5,177.0,160.5,678929.0
58,20160831.0,175.0,176.0,179.5,171.5,499866.0
59,20160930.0,176.0,182.5,187.5,173.0,614779.0
60,20161031.0,186.0,188.5,193.0,184.5,480304.0
61,20161130.0,188.5,183.0,190.5,179.0,603524.0
62,20161230.0,182.0,181.5,187.5,178.0,533790.0
63,20170124.0,181.5,185.5,186.5,179.0,459455.0
64,20170224.0,188.0,189.0,191.0,183.0,544533.0
65,20170331.0,188.5,189.0,195.0,183.0,612864.0
66,20170428.0,189.5,194.5,194.5,186.5,422499.0
67,20170531.0,198.5,203.0,208.5,195.5,579444.0
68,20170630.0,205.0,208.5,218.5,204.5,726655.0
69,20170731.0,207.5,214.5,216.0,205.5,451894.0
70,20170831.0,212.5,216.5,219.0,210.0,467329.0
71,20170930.0,215.0,216.5,223.0,213.5,452735.0
72,20171031.0,219.5,243.0,245.0,218.5,475483.0
73,20171130.0,243.5,226.0,245.0,226.0,510229.0
74,20171229.0,228.5,229.5,234.5,222.5,504370.0
75,20180131.0,231.5,255.0,266.0,231.0,714415.0
76,20180227.0,257.5,246.0,261.0,228.5,630696.0
77,20180331.0,244.0,247.5,259.0,238.5,677826.0
78,20180430.0,248.5,227.0,249.0,221.0,708126.0
79,20180514.0,227.0,233.0,234.5,220.0,274196.0
